AREA_NAME,count
SALKOR AREA,126452
RICHARDS BAY AREA,37262
PORT ELIZABETH AREA,29251
DURBAN AREA,28128
POSTMASBURG AREA,16210
RUSTENBURG AREA,14147
WITBANK AREA,12420
VEREENIGING AREA,11857
WELGEDAG AREA,8127
NELSPRUIT AREA,7133
THABAZIMBI AREA,6149
NEWCASTLE AREA,5912
DURBAN HARBOUR AREA,4574
KINGS REST AREA,3529
PRETORIA AREA,3323
ISANDO AREA,2782
BELLVILLE AREA,1911
BELCON CONT.AREA,1862
JOHANNESBURG AREA,1784
BAYHEAD CONT.AREA,1487
ERMELO AREA,1473
LICHTENBURG AREA,1333
KASCON CONT.ARE,1117
KIMBERLEY AREA,867
OGIES AREA,865
SPRINGS AREA,777
BLOEMFONTEIN AREA,654
VRYHEID AREA,615
PIETERMARITZBURG AREA,536
RICHARDS BAY COAL AREA,369
WORCESTOR AREA,281
KRUGERSDORP AREA,280
MASCON CONT.AREA,256
PRETCON CONT.AREA,252
VAALCON CONT.AREA,246
POLOKWANE AREA,209
KROONSTAD AREA,105
DEAL PARTY CONT.AREA,102
EAST LONDON AREA,98
BETHLEHEM AREA,56
BLOEMFONTEIN CONT.AREA,48
CITY DEEP CONT.AREA,33
SENTRARAND AREA,31
DE AAR AREA,7
